company_symbol,Date,Open,High,Low,Close,Volume
HD,2021-02-01,271.23,272.65,267.25,270.07,3707800
HD,2021-02-02,270.0,275.69,269.99,272.16,4111800
HD,2021-02-03,271.89,275.72,270.71,274.17,2802700
HD,2021-02-04,274.25,279.44,274.25,278.82,2976000
HD,2021-02-05,280.29,281.76,277.81,278.86,2389900
HD,2021-02-08,279.69,280.42,276.89,280.03,3475600
HD,2021-02-09,279.66,280.2,276.62,276.77,2507800
HD,2021-02-10,278.03,278.93,276.25,278.69,2410600
HD,2021-02-11,277.93,280.25,276.01,277.06,2595300
HD,2021-02-12,277.12,278.71,276.58,277.51,2392200
HD,2021-02-16,277.01,278.63,274.88,275.39,2873500
HD,2021-02-17,275.54,281.79,275.4,280.92,3536400
HD,2021-02-18,280.8,284.68,279.83,283.05,3532000
HD,2021-02-19,282.87,283.91,279.44,279.64,4079900
HD,2021-02-22,278.21,278.49,273.63,275.85,3995500
HD,2021-02-23,269.38,269.67,257.58,267.24,12111000
HD,2021-02-24,263.23,266.99,254.03,259.97,14512700
HD,2021-02-25,259.75,260.9,254.71,255.25,6545400
HD,2021-02-26,257.77,260.24,256.11,258.34,7871200
HD,2021-03-01,258.81,262.48,258.47,261.62,4528900
HD,2021-03-02,261.68,263.11,259.77,260.29,3740300
HD,2021-03-03,259.28,260.5,256.01,257.36,4257500
HD,2021-03-04,256.0,256.86,247.1,250.93,7154900
HD,2021-03-05,252.26,254.2,246.59,253.52,6351800
HD,2021-03-08,254.23,263.23,252.52,259.03,5037400
HD,2021-03-09,262.73,267.57,261.79,264.96,6625300
HD,2021-03-10,265.92,268.75,264.08,266.24,3798400
HD,2021-03-11,268.6,270.78,267.2,268.85,4371300
HD,2021-03-12,267.45,273.81,266.76,273.1,4190500
HD,2021-03-15,274.5,279.65,274.34,278.54,4355200
HD,2021-03-16,278.54,282.52,277.65,282.08,4458900
HD,2021-03-17,281.14,283.88,279.25,280.03,5908400
HD,2021-03-18,279.03,285.47,277.76,283.16,4808100
HD,2021-03-19,283.64,289.1,282.43,289.1,13729200
HD,2021-03-22,286.5,290.33,284.2,288.94,5564700
HD,2021-03-23,289.61,293.43,288.94,289.98,4801200
HD,2021-03-24,289.26,296.78,288.99,292.75,4842000
HD,2021-03-25,293.03,297.88,292.46,297.18,5373500
HD,2021-03-26,297.34,304.0,296.03,303.81,5865900
HD,2021-03-29,303.3,305.55,299.93,302.2,4642900
HD,2021-03-30,301.65,305.68,300.04,304.82,5045400
HD,2021-03-31,305.5,308.02,304.14,305.25,4744100
HD,2021-04-01,306.88,308.55,303.89,307.75,3923900
HD,2021-04-05,309.84,315.85,309.74,315.4,4697200
