2020-01-31,2020-09-30,2020-12-31,2021-01-31,2021-09-30,2021-12-31,2022-01-31,2022-09-30,2022-12-31,2023-01-31,2023-09-30
,,0.0,,,2970000.0,,,-14080000.0,,
,,0.25,,,0.11,,,0.08,,
,,4224000000.0,,,9598000000.0,,,17833000000.0,,
,,0.0,,,27000000.0,,,-176000000.0,,
,,0.0,,,27000000.0,,,-176000000.0,,
,,721000000.0,,,5524000000.0,,,12583000000.0,,
,,2322000000.0,,,2911000000.0,,,3747000000.0,,
,,24906000000.0,,,40217000000.0,,,60609000000.0,,
,,4224000000.0,,,9625000000.0,,,17657000000.0,,
,,1902000000.0,,,6714000000.0,,,13910000000.0,,
,,-718000000.0,,,-315000000.0,,,106000000.0,,
,,748000000.0,,,371000000.0,,,191000000.0,,
,,30000000.0,,,56000000.0,,,297000000.0,,
,,721000000.0,,,5499970000.0,,,12744920000.0,,
,,721000000.0,,,5524000000.0,,,12583000000.0,,
,,29542000000.0,,,47327000000.0,,,67630000000.0,,
,,-1994000000.0,,,6523000000.0,,,13656000000.0,,
,,3249000000.0,,,3386000000.0,,,3475000000.0,,
,,2799000000.0,,,2959000000.0,,,3130000000.0,,
,,0.213333,,,1.63,,,3.62,,
,,0.246667,,,1.87,,,4.02,,
,,721000000.0,,,5533000000.0,,,12584000000.0,,
,,,,,9000000.0,,,1000000.0,,
,,721000000.0,,,5524000000.0,,,12583000000.0,,
,,721000000.0,,,5524000000.0,,,12583000000.0,,
,,-141000000.0,,,-120000000.0,,,-4000000.0,,
,,862000000.0,,,5644000000.0,,,12587000000.0,,
,,862000000.0,,,5644000000.0,,,12587000000.0,,
,,292000000.0,,,699000000.0,,,1132000000.0,,
,,1154000000.0,,,6343000000.0,,,13719000000.0,,
,,-122000000.0,,,162000000.0,,,-219000000.0,,
,,-122000000.0,,,135000000.0,,,-43000000.0,,
,,0.0,,,27000000.0,,,-176000000.0,,
,,0.0,,,-27000000.0,,,176000000.0,,
,,-718000000.0,,,-315000000.0,,,106000000.0,,
,,748000000.0,,,371000000.0,,,191000000.0,,
,,30000000.0,,,56000000.0,,,297000000.0,,
,,1994000000.0,,,6496000000.0,,,13832000000.0,,
,,4636000000.0,,,7110000000.0,,,7021000000.0,,
,,1491000000.0,,,2593000000.0,,,3075000000.0,,
,,3145000000.0,,,4517000000.0,,,3946000000.0,,
,,6630000000.0,,,13606000000.0,,,20853000000.0,,
,,24906000000.0,,,40217000000.0,,,60609000000.0,,
,,31536000000.0,,,53823000000.0,,,81462000000.0,,
,,31536000000.0,,,53823000000.0,,,81462000000.0,,
,0.0,,,0.0,,,0.0,,,0.0
,0.144,,,0.133,,,0.162,,,0.147
,81020000000.0,,,123136000000.0,,,133138000000.0,,,129188000000.0
,57411000000.0,,,94680000000.0,,,99803000000.0,,,96995000000.0
,11056000000.0,,,11284000000.0,,,11104000000.0,,,11519000000.0
,169559000000.0,,,212981000000.0,,,223546000000.0,,,214137000000.0
,81020000000.0,,,123136000000.0,,,133138000000.0,,,129188000000.0
,69964000000.0,,,111852000000.0,,,122034000000.0,,,117669000000.0
,890000000.0,,,198000000.0,,,-106000000.0,,,-183000000.0
,2873000000.0,,,2645000000.0,,,2931000000.0,,,3933000000.0
,3763000000.0,,,2843000000.0,,,2825000000.0,,,3750000000.0
,57411000000.0,,,94680000000.0,,,99803000000.0,,,96995000000.0
